EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 07-12-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 104894) of FRANCE, MARSEILLE OBS. PALAIS-LONCHAMP (STAID: 31)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
    31,104894,18810623,    0,    0
    31,104894,18810624,    0,    0
    31,104894,18810625,    0,    0
    31,104894,18810626,    0,    0
    31,104894,18810627,    0,    0
    31,104894,18810628,    0,    0
    31,104894,18810629,    0,    0
    31,104894,18810630,    0,    0
    31,104894,18810701,-9999,    9
    31,104894,18810702,-9999,    9
    31,104894,18810703,-9999,    9
    31,104894,18810704,-9999,    9
    31,104894,18810705,-9999,    9
    31,104894,18810706,-9999,    9
    31,104894,18810707,-9999,    9
    31,104894,18810708,-9999,    9
    31,104894,18810709,-9999,    9
    31,104894,18810710,-9999,    9
    31,104894,18810711,-9999,    9
    31,104894,18810712,-9999,    9
    31,104894,18810713,-9999,    9
    31,104894,18810714,-9999,    9
    31,104894,18810715,-9999,    9
    31,104894,18810716,-9999,    9
    31,104894,18810717,-9999,    9
    31,104894,18810718,-9999,    9
    31,104894,18810719,-9999,    9
    31,104894,18810720,-9999,    9
    31,104894,18810721,-9999,    9
    31,104894,18810722,-9999,    9
    31,104894,18810723,-9999,    9
    31,104894,18810724,-9999,    9
    31,104894,18810725,-9999,    9
    31,104894,18810726,-9999,    9
    31,104894,18810727,-9999,    9
    31,104894,18810728,-9999,    9
    31,104894,18810729,-9999,    9
    31,104894,18810730,-9999,    9
    31,104894,18810731,-9999,    9
    31,104894,18810801,    0,    0
    31,104894,18810802,    0,    0
    31,104894,18810803,    0,    0
    31,104894,18810804,    0,    0
    31,104894,18810805,    0,    0
    31,104894,18810806,    0,    0
    31,104894,18810807,    0,    0
    31,104894,18810808,    0,    0
    31,104894,18810809,    0,    0
    31,104894,18810810,    0,    0
    31,104894,18810811,    0,    0
    31,104894,18810812,    0,    0
    31,104894,18810813,    0,    0
    31,104894,18810814,    0,    0
    31,104894,18810815,    0,    0
    31,104894,18810816,    4,    0
    31,104894,18810817,   40,    0
    31,104894,18810818,    0,    0
    31,104894,18810819,    0,    0
    31,104894,18810820,    0,    0
    31,104894,18810821,    0,    0
    31,104894,18810822,    0,    0
    31,104894,18810823,    0,    0
    31,104894,18810824,    0,    0
    31,104894,18810825,    0,    0
    31,104894,18810826,    0,    0
    31,104894,18810827,   92,    0
    31,104894,18810828,    0,    0
    31,104894,18810829,    0,    0
    31,104894,18810830,    0,    0
    31,104894,18810831,   24,    0
    31,104894,18810901,    0,    0
    31,104894,18810902,    0,    0
    31,104894,18810903,    0,    0
    31,104894,18810904,    0,    0
    31,104894,18810905,   36,    0
    31,104894,18810906,    0,    0
    31,104894,18810907,    0,    0
    31,104894,18810908,    0,    0
    31,104894,18810909,    0,    0
    31,104894,18810910,    0,    0
    31,104894,18810911,    0,    0
    31,104894,18810912,    0,    0
    31,104894,18810913,    0,    0
    31,104894,18810914,    0,    0
    31,104894,18810915,    0,    0
    31,104894,18810916,    0,    0
    31,104894,18810917,    0,    0
    31,104894,18810918,    0,    0
    31,104894,18810919,   21,    0
    31,104894,18810920,    0,    0
    31,104894,18810921,   27,    0
    31,104894,18810922,    0,    0
    31,104894,18810923,    0,    0
    31,104894,18810924,    0,    0
    31,104894,18810925,    0,    0
    31,104894,18810926,    0,    0
    31,104894,18810927,    0,    0
    31,104894,18810928,    0,    0
    31,104894,18810929,    0,    0
    31,104894,18810930,    0,    0
    31,104894,18811001,   10,    0
    31,104894,18811002,    0,    0
    31,104894,18811003,    0,    0
    31,104894,18811004,    0,    0
    31,104894,18811005,    0,    0
    31,104894,18811006,    0,    0
    31,104894,18811007,    0,    0
    31,104894,18811008,   23,    0
    31,104894,18811009,    2,    0
    31,104894,18811010,    0,    0
    31,104894,18811011,    0,    0
    31,104894,18811012,    0,    0
    31,104894,18811013,    0,    0
    31,104894,18811014,    0,    0
    31,104894,18811015,    0,    0
    31,104894,18811016,    0,    0
    31,104894,18811017,    0,    0
    31,104894,18811018,    0,    0
    31,104894,18811019,    0,    0
    31,104894,18811020,  174,    0
    31,104894,18811021,    0,    0
    31,104894,18811022,  106,    0
    31,104894,18811023,    0,    0
    31,104894,18811024,    0,    0
    31,104894,18811025,    0,    0
    31,104894,18811026,    0,    0
    31,104894,18811027,    0,    0
    31,104894,18811028,   16,    0
    31,104894,18811029,    0,    0
    31,104894,18811030,    0,    0
    31,104894,18811031,    0,    0
    31,104894,18811101,    0,    0
    31,104894,18811102,    0,    0
    31,104894,18811103,    0,    0
    31,104894,18811104,    0,    0
    31,104894,18811105,    0,    0
    31,104894,18811106,    0,    0
    31,104894,18811107,    0,    0
    31,104894,18811108,    0,    0
    31,104894,18811109,    0,    0
    31,104894,18811110,    0,    0
    31,104894,18811111,    0,    0
    31,104894,18811112,    0,    0
    31,104894,18811113,    0,    0
    31,104894,18811114,    0,    0
    31,104894,18811115,    0,    0
    31,104894,18811116,    0,    0
    31,104894,18811117,    0,    0
    31,104894,18811118,    0,    0
    31,104894,18811119,    0,    0
    31,104894,18811120,    0,    0
    31,104894,18811121,    0,    0
    31,104894,18811122,    0,    0
    31,104894,18811123,    0,    0
    31,104894,18811124,   30,    0
    31,104894,18811125,   46,    0
    31,104894,18811126,   22,    0
    31,104894,18811127,   26,    0
    31,104894,18811128,  433,    0
    31,104894,18811129,    0,    0
    31,104894,18811130,    0,    0
    31,104894,18811201,    0,    0
    31,104894,18811202,    0,    0
    31,104894,18811203,    0,    0
    31,104894,18811204,    0,    0
    31,104894,18811205,    0,    0
    31,104894,18811206,    0,    0
    31,104894,18811207,   70,    0
    31,104894,18811208,  386,    0
    31,104894,18811209,    0,    0
    31,104894,18811210,    0,    0
    31,104894,18811211,    0,    0
    31,104894,18811212,    0,    0
    31,104894,18811213,    0,    0
    31,104894,18811214,    0,    0
    31,104894,18811215,    0,    0
    31,104894,18811216,    0,    0
    31,104894,18811217,   46,    0
    31,104894,18811218,    6,    0
    31,104894,18811219,    4,    0
    31,104894,18811220,    5,    0
    31,104894,18811221,    0,    0
    31,104894,18811222,   99,    0
    31,104894,18811223,   20,    0
    31,104894,18811224,    0,    0
    31,104894,18811225,    0,    0
    31,104894,18811226,    0,    0
    31,104894,18811227,    0,    0
    31,104894,18811228,    0,    0
    31,104894,18811229,    0,    0
    31,104894,18811230,    0,    0
    31,104894,18811231,  156,    0
    31,104894,18820101,   65,    0
    31,104894,18820102,    0,    0
    31,104894,18820103,-9999,    9
    31,104894,18820104,-9999,    9
    31,104894,18820105,    0,    0
    31,104894,18820106,    0,    0
    31,104894,18820107,    0,    0
    31,104894,18820108,    0,    0
    31,104894,18820109,    0,    0
    31,104894,18820110,    0,    0
    31,104894,18820111,    0,    0
    31,104894,18820112,    0,    0
    31,104894,18820113,    0,    0
    31,104894,18820114,    0,    0
    31,104894,18820115,    0,    0
    31,104894,18820116,    0,    0
    31,104894,18820117,    0,    0
    31,104894,18820118,    0,    0
    31,104894,18820119,    0,    0
    31,104894,18820120,    0,    0
    31,104894,18820121,    0,    0
    31,104894,18820122,    0,    0
    31,104894,18820123,    0,    0
    31,104894,18820124,    0,    0
    31,104894,18820125,    0,    0
    31,104894,18820126,    0,    0
    31,104894,18820127,    0,    0
    31,104894,18820128,    0,    0
    31,104894,18820129,    0,    0
    31,104894,18820130,    0,    0
    31,104894,18820131,    0,    0
    31,104894,18820201,   20,    0
    31,104894,18820202,    0,    0
    31,104894,18820203,    0,    0
    31,104894,18820204,    0,    0
    31,104894,18820205,    0,    0
    31,104894,18820206,    0,    0
    31,104894,18820207,    0,    0
    31,104894,18820208,    0,    0
    31,104894,18820209,    0,    0
    31,104894,18820210,    0,    0
    31,104894,18820211,    0,    0
    31,104894,18820212,    0,    0
    31,104894,18820213,    0,    0
    31,104894,18820214,    0,    0
    31,104894,18820215,    0,    0
    31,104894,18820216,    0,    0
    31,104894,18820217,    0,    0
    31,104894,18820218,    0,    0
    31,104894,18820219,    0,    0
    31,104894,18820220,    0,    0
    31,104894,18820221,    0,    0
    31,104894,18820222,    0,    0
    31,104894,18820223,    0,    0
    31,104894,18820224,    0,    0
    31,104894,18820225,    0,    0
    31,104894,18820226,   42,    0
    31,104894,18820227,   12,    0
    31,104894,18820228,    0,    0
    31,104894,18820301,    0,    0
