EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 07-12-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 101043) of SPAIN, ALICANTE (STAID: 412)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
   412,101043,19390221,    0,    0
   412,101043,19390222,    0,    0
   412,101043,19390223,   58,    0
   412,101043,19390224,   33,    0
   412,101043,19390225,   27,    0
   412,101043,19390226,    0,    0
   412,101043,19390227,    0,    0
   412,101043,19390228,    0,    0
   412,101043,19390301,    0,    0
   412,101043,19390302,    0,    0
   412,101043,19390303,    0,    0
   412,101043,19390304,    0,    0
   412,101043,19390305,    0,    0
   412,101043,19390306,    0,    0
   412,101043,19390307,    0,    0
   412,101043,19390308,    0,    0
   412,101043,19390309,    0,    0
   412,101043,19390310,    0,    0
   412,101043,19390311,    0,    0
   412,101043,19390312,    0,    0
   412,101043,19390313,   18,    0
   412,101043,19390314,    0,    0
   412,101043,19390315,    0,    0
   412,101043,19390316,  107,    0
   412,101043,19390317,   14,    0
   412,101043,19390318,  109,    0
   412,101043,19390319,   15,    0
   412,101043,19390320,    0,    0
   412,101043,19390321,    0,    0
   412,101043,19390322,    0,    0
   412,101043,19390323,    0,    0
   412,101043,19390324,    0,    0
   412,101043,19390325,    0,    0
   412,101043,19390326,    1,    0
   412,101043,19390327,    0,    0
   412,101043,19390328,    0,    0
   412,101043,19390329,    0,    0
   412,101043,19390330,   37,    0
   412,101043,19390331,    2,    0
   412,101043,19390401,    0,    0
   412,101043,19390402,    3,    0
   412,101043,19390403,    0,    0
   412,101043,19390404,    0,    0
   412,101043,19390405,    1,    0
   412,101043,19390406,    0,    0
   412,101043,19390407,   42,    0
   412,101043,19390408,    0,    0
   412,101043,19390409,    0,    0
   412,101043,19390410,    0,    0
   412,101043,19390411,   12,    0
   412,101043,19390412,    0,    0
   412,101043,19390413,    0,    0
   412,101043,19390414,    0,    0
   412,101043,19390415,    5,    0
   412,101043,19390416,    0,    0
   412,101043,19390417,    0,    0
   412,101043,19390418,    0,    0
   412,101043,19390419,    0,    0
   412,101043,19390420,    0,    0
   412,101043,19390421,    0,    0
   412,101043,19390422,    0,    0
   412,101043,19390423,    0,    0
   412,101043,19390424,    0,    0
   412,101043,19390425,    0,    0
   412,101043,19390426,    0,    0
   412,101043,19390427,   69,    0
   412,101043,19390428,    1,    0
   412,101043,19390429,    0,    0
   412,101043,19390430,   10,    0
   412,101043,19390501,    0,    0
   412,101043,19390502,    0,    0
   412,101043,19390503,    7,    0
   412,101043,19390504,    0,    0
   412,101043,19390505,    0,    0
   412,101043,19390506,    8,    0
   412,101043,19390507,    0,    0
   412,101043,19390508,    0,    0
   412,101043,19390509,    0,    0
   412,101043,19390510,    0,    0
   412,101043,19390511,    0,    0
   412,101043,19390512,    0,    0
   412,101043,19390513,    7,    0
   412,101043,19390514,    0,    0
   412,101043,19390515,    0,    0
   412,101043,19390516,    0,    0
   412,101043,19390517,    0,    0
   412,101043,19390518,    0,    0
   412,101043,19390519,   38,    0
   412,101043,19390520,    0,    0
   412,101043,19390521,    6,    0
   412,101043,19390522,    0,    0
   412,101043,19390523,    0,    0
   412,101043,19390524,    0,    0
   412,101043,19390525,    0,    0
   412,101043,19390526,    0,    0
   412,101043,19390527,    0,    0
   412,101043,19390528,    0,    0
   412,101043,19390529,    0,    0
   412,101043,19390530,   89,    0
   412,101043,19390531,    0,    0
   412,101043,19390601,   14,    0
   412,101043,19390602,    6,    0
   412,101043,19390603,    0,    0
   412,101043,19390604,    3,    0
   412,101043,19390605,    0,    0
   412,101043,19390606,    0,    0
   412,101043,19390607,    0,    0
   412,101043,19390608,    0,    0
   412,101043,19390609,   20,    0
   412,101043,19390610,   49,    0
   412,101043,19390611,    0,    0
   412,101043,19390612,   79,    0
   412,101043,19390613,    0,    0
   412,101043,19390614,    0,    0
   412,101043,19390615,    0,    0
   412,101043,19390616,    0,    0
   412,101043,19390617,    0,    0
   412,101043,19390618,    1,    0
   412,101043,19390619,    0,    0
   412,101043,19390620,    0,    0
   412,101043,19390621,    0,    0
   412,101043,19390622,    0,    0
   412,101043,19390623,    0,    0
   412,101043,19390624,    6,    0
   412,101043,19390625,    0,    0
