EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 07-12-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 105238) of GREECE, CHANIA (STAID: 754)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
   754,105238,19580624,    0,    0
   754,105238,19580625,    0,    0
   754,105238,19580626,    0,    0
   754,105238,19580627,    0,    0
   754,105238,19580628,    0,    0
   754,105238,19580629,    0,    0
   754,105238,19580630,    0,    0
   754,105238,19580701,    0,    0
   754,105238,19580702,    0,    0
   754,105238,19580703,    0,    0
   754,105238,19580704,    0,    0
   754,105238,19580705,    0,    0
   754,105238,19580706,    0,    0
   754,105238,19580707,    0,    0
   754,105238,19580708,    0,    0
   754,105238,19580709,    0,    0
   754,105238,19580710,    0,    0
   754,105238,19580711,    0,    0
   754,105238,19580712,    2,    0
   754,105238,19580713,    0,    0
   754,105238,19580714,    0,    0
   754,105238,19580715,    0,    0
   754,105238,19580716,    0,    0
   754,105238,19580717,    0,    0
   754,105238,19580718,    0,    0
   754,105238,19580719,    0,    0
   754,105238,19580720,    0,    0
   754,105238,19580721,    0,    0
   754,105238,19580722,    0,    0
   754,105238,19580723,    0,    0
   754,105238,19580724,    0,    0
   754,105238,19580725,    0,    0
   754,105238,19580726,    0,    0
   754,105238,19580727,    0,    0
   754,105238,19580728,    0,    0
   754,105238,19580729,    0,    0
   754,105238,19580730,    0,    0
   754,105238,19580731,    0,    0
   754,105238,19580801,    0,    0
   754,105238,19580802,    0,    0
   754,105238,19580803,    0,    0
   754,105238,19580804,    0,    0
